PART_NO,PART_DESC,PR CODE,SELLING PRICE
30201064,BAND FOR OIL TUBE,2W,  25 
30201074,SPRING BRAKE,2W,  40 
30201085,FUSE 15AMPS,2W,  50 
30201104,FUSE BOX WITH DAMPER,2W,  275 
30201113,REGULATE VOLTAGE,2W,  535 
30211005,COLLER L=13.1,2W,  60 
31101006,CAP,2W,  220 
31101007,COVER,2W,  605 
31101008,GUIDE VALVE,2W,  230 
31101014,GASKET-MUFFLER,2W,  60 
31101020,ARM-ROCKER,2W,  500 
31101021,SHAFT-ROCKER,2W,  110 
31101024,SPROCKET - CAM DRIVEN [28T],2W,  280 
31101033,CHAIN-TIMING,2W,"  1,130 "
31101038,RATCHET,2W,  940 
31101039,COIL  SPRING,2W,  15 
31101040,GUIDE,2W,  80 
31101041,SPRING,2W,  120 
31101044,PIN,2W,  35 
31101045,SEAT-SPRING,2W,  10 
31101051,WHEEL-SHIFT,2W,  140 
31101054,SPRING,2W,  10 
31101055,SPRING,2W,  80 
31101056,GUIDE,2W,  30 
31101061,PLUG,2W,  25 
31101062,BOLT,2W,  80 
31101064,PLUG,2W,  25 
31101067,GAUGE,2W,  230 
31101076,GEAR PRIMARY (23T),2W,"  1,610 "
31101080,SHAFT-OUTPUT 2ND/30T,2W,"  2,880 "
31101082,GEAR-TOP (29T),2W,"  1,490 "
31101083,GEAR-3RD (31T),2W,"  1,950 "
31101084,GEAR-TOP (28T),2W,"  1,355 "
31101104,STOPPER,2W,  35 
31101108,DAMPER *,2W,  70 
31101109,COLLAR,2W,  25 
31101113,WASHER,2W,  15 
31101124,SHAFT KICK,2W,"  1,150 "
31101135,WHEEL-CLUTCH,2W,  810 
31101136,HUB CLUTCH,2W,"  1,140 "
31101137,HOLDERL,2W,  290 
31101139,CLUTCH HOUSING,2W,  930 
31101144,LEVER COMPT.,2W,  330 
31101148,WHEEL-PUSH,2W,  140 
31101168,DRUM ASSLY-CHANGE,2W,"  1,990 "
31101172,FITTING,2W,  75 
31101175,INSULATOR,2W,  70 
31101191,FORK SHIFT *,2W,  870 
31101192,FORK SHIFT *,2W,  900 
31101216,COLLAR - SINTERED,2W,  70 
31101218,GEAR SPUR [4S CHAMPION],2W,"  1,390 "
31101219,SHAFT TRANS/INPUT[4S CHAMPION],2W,"  2,480 "
31101221,GEAR TRANS/SPUR [4S CHAMPION],2W,"  1,925 "
31101235,ROCKER ARM,2W,  925 
31101288,RING SET PISTON-STD,2W,"  1,870 "
31101293,CRANK SHAFT,2W,"  18,520 "
31101295,COVER GENERATOR,2W,"  2,240 "
31101314,CYL:BLOCK & PISTON ASSY,2W,"  12,190 "
31111012,CAP SPARK PLUG,2W,  490 
31111013,GROMMET,2W,  10 
31111052,C.D.I.ASSLY,2W,"  2,660 "
31111056,EXCITOR COIL *,2W,"  1,510 "
31111058,PULSER COIL ASSEMBLY,2W,  600 
31121007,COVER,2W,  415 
31121008,HOLDER,2W,  210 
31121014,CLAMP-AIR CLEANER,2W,  25 
31121029,FILTER ELEMENT-AIR,2W,  440 
31121041,CLAMP-AIR CLEANER,2W,  100 
31121055,VALVE-THROTTLE,2W,  710 
31121067,SCREW-ADJUST,2W,  65 
31121070,SLOW JET,2W,  400 
31121071,FLOAT NEEDLE,2W,"  1,030 "
31121072,FLOAT COMPT.,2W,"  1,335 "
31121077,MAIN JET,2W,  175 
31121078,JET HOLDER,2W,  120 
31121155,JET NEEDLE,2W,  310 
31121166,CARBURATOR ASSY,2W,"  12,630 "
31141093,FUEL TANK (CANDY WINE RED),2W,"  15,075 "
31151001,AXLE-REAR,2W,  445 
31151004,COLLAR,2W,  150 
31151011,CAM-BRAKE,2W,  330 
31151014,OIL SEAL [ F / BRAKE DRUM COVER ],2W,  250 
31151018,COLLAR-BEARING,2W,  210 
31151021,SHOCK DAMPER,2W,  220 
31151023,BRAKE CAM,2W,  185 
31151024,PANEL-REAR BRAKE,2W,"  2,460 "
31151026,COLLAR,2W,  180 
31151027,COUPLING,2W,"  2,280 "
31151028,SLEEVE,2W,  600 
31151029,WASHER,2W,  30 
31151030,COLLAR,2W,  170 
31151036,AXLE-FRONT,2W,  290 
31151037,LEVER-BRAKE,2W,  350 
31151041,SPOKE-INNER,2W,  10 
31151042,SPOKE-OUTER,2W,  15 
31151056,COLLAR-AXLE,2W,  150 
31151060,SHOE-BRAKE,2W,  720 
31151060K,BRAKE SHOE KIT WITH SPRING (CT 100),2W,"  1,490 "
31151064,GEAR METER SCREW,2W,  100 
31161008,FENDER COMPT. REAR,2W,"  2,675 "
31161018,DAMPER,2W,  60 
31161078,WASHER,2W,  5 
31161136,LOCK FOR SIDE COVER W/KEY,2W,  250 
31161195,MUD FLAP REAR [4S),2W,  70 
31161262,COVER - SIDE :- RIGHT HAND PRIMERED (4S CHAMPION),2W,  425 
31161278,MUD FLAP,2W,  170 
31171001,ARM SWING COMPLETE,2W,"  3,840 "
31171006,SHAFT SWING ARM,2W,  370 
31171012,DAMPER FOR SWING ARM,2W,  480 
31181015,CY COMPLETE FORK,2W,  580 
31181054,HANDLE [BOXER],2W,"  2,170 "
31181061,COWLING (FAIRING) FOR HEAD LIGHT(PRIMERED),2W,"  1,840 "
31181093,FORK FRONT/BELLOW,2W,"  9,215 "
31181098,PIPE COMPLETE INR-ENDU SYSTM(1,2W,"  4,610 "
31181099,SPRING - FRONT FORK :- ENDURANCE SYSTEM,2W,  300 
31181100,BOLT FORK-ES,2W,  175 
31181101,SEAT FORK SPRING-ES,2W,  35 
31181102,RING ''O'' ES,2W,  30 
31181106,BOLT-ES,2W,  90 
31181108,RING SNAP - ES,2W,  15 
31181119,HOLDER FORK UPPER-ES,2W,"  1,915 "
31181120,BOLT-ES,2W,  460 
31191002,CLAMP,2W,  20 
31191003,CABLE COMP SPEEDOMETER,2W,  640 
31191004,SPEEDO-INNER CABLE,2W,  180 
31191012,SPEEDO METER ASSY,2W,"  6,050 "
31191016,ROD-   BRAKE,2W,  270 
31191017,COVER-METER UPPER,2W,  330 
31191018,SPEEDOMETER,2W,"  3,090 "
31191019,RUBBER GASKET,2W,  75 
31191027,CABLE COMP THROTTLE,2W,  660 
31191028,CABLE COMP CLUTCH,2W,  540 
31201001,COLLAR,2W,  20 
31201027,BATTERY-KB 4S,2W,"  3,910 "
31201045,RECTIFIER/REGULATOR ASSY,2W,"  1,510 "
31201051,NUT FOR IG.SWITCH,2W,  45 
31201078,FRONT  BRAKE  SWITCH,2W,  330 
31201079,REAR  BRAKE  SWITCH,2W,  370 
31201080,CONTROL SWITCH-LH,2W,"  2,630 "
31201081,NEUTRAL  SWITCH,2W,  320 
31201090,"FLASHER - D. C., SOLID STATE",2W,  930 
32201021,CONTROLL  SWITCH,2W,  625 
33141008,CLAMP COCK OUTLET,2W,  15 
35101114,GEAR  SHIFTER  COMP.,2W,"  1,045 "
35121035,REED VALVE ASSEMBLY,2W,  200 
35151001,FR.BR ACT SHAFT  ASSY,2W,  125 
35151003,FR. BRAKE  DRUM  ASSY,2W,"  1,660 "
35161057,MUDGUARD  FR  RIDGE,2W,  45 
35161060,CLIP  NUT,2W,  70 
35161136,PUSH RIVET,2W,  5 
35171033,GREASE  NIPPLE BMG,2W,  90 
35171040,GREASE NIPPLE,2W,  30 
35181009,H/L RIM (PLASTIC),2W,  175 
35191002,SPEEDO METER PINION,2W,  85 
35191041,CABLE INNER F/BRAKE,2W,  65 
35191043,SPEEDO  CABLE ASSY,2W,  280 
35201098,HEAD LIGHT COMP/LAMP *,2W,"  1,805 "
35790323,FR BR PANEL PRIMERED 35171007,2W,"  2,225 "
36103002,OIL SEAL KIT [ KB100 / 125 ],2W,  425 
36151001,OIL SEAL & O'RING KIT [ M80 / 2S ],2W,  310 
36151601,M80 CHAIN SPROCKET SET,2W,"  4,325 "
36153001,SPROCKET SET [KB-100],2W,"  3,800 "
36161509,KIIT SPEEDO METER M80,2W,  70 
36181802,KIT - BEARING RACE,2W,"  1,545 "
36222232,NYLON BUSH  KIT [M-80],2W,  85 
36222241,STEEL BUSH  KIT [M-80],2W,  170 
36301509,KIT G M SCREW,2W,  400 
36311006,CHAIN GUIDE KIT (4S),2W,"  1,020 "
36311014,OIL SEAL KIT [4S],2W,  390 
36311027,KIT KICK LEVER REPAIR,2W,  70 
36311028,VALVE KIT CALIBER,2W,"  1,930 "
36311032,GASKET KIT 4S,2W,  790 
36311508,KIT CHAIN SPROCKET 4S,2W,"  5,190 "
36311803,KIT- STEERING CONE  BOXER,2W,"  1,065 "
36314001,KIT STEERING CONE NEW 4/S-BOXER-CT100,2W,"  1,200 "
36314001K,COMPLETE CUPSET WITH BALL STELLS,2W,"  1,190 "
36314002,KIT BALL STEEL STEERING,2W,  130 
36314005,"KIT ST. CONE KIT (31MM) WITH GR
",2W,"  1,590 "
36314006,GASKET KIT 4S,2W,"  1,260 "
36CS0003,KIT GUIDE CHAIN ( WAVE ),2W,  380 
36CS0005,KIT BEARING CONE ( WAVE ),2W,"  2,250 "
36DD1502,KIT CHAIN SPROCKET,2W,"  4,920 "
36DD1503,KIT CHAIN SPROKET CALIBER UPG,2W,"  5,140 "
36DD1504,CAL-115 CHAIN SPROCKET KIT,2W,"  5,210 "
36DD4001,PISTON RING SET STD. (DU101218),2W,"  1,360 "
36DD4002,KIT GASKET CT100,2W,  610 
36DD4006,KIT PLATE FRICTION BOXER ( DD101099 ),2W,"  1,100 "
36DD4007,KIT PLATE CLUTCH BOXER  ( DD101389 ),2W,"  1,890 "
36DD4008,KIT PLATE CLUTCH  ( DD101480 ),2W,"  1,570 "
36DD4008K,CLUTCH PLATE KIT - CT100 / PLATINA 100,2W,"  2,730 "
36DD4009,Gasket Kit Platina / CT 100,2W,  650 
36DD4010,Gasket Kit Platina,2W,  750 
36DF1000,Oil Seal Kit- Boxer Deluxe,2W,  940 
36DF1701,KIT BUSH SHOCKER,2W,  630 
36DH1001,SET PRIMARY DRIVER & DRIVEN - PULSAR 150,2W,"  6,850 "
