Barcode Nomenclature,Rules/Rule Name,Rules/Type,Rules/Alias,Rules/Barcode Pattern,Rules/Sequence
,AA121214,Alias,AA121214,AA121214-{N},1
,DH121168,Alias,DH121168,DH121168-{N},1
,JB581237,Alias,JB581237,JB581237-{N},1
,AA121215,Alias,AA121215,AA121215-{N},1
,05101083,Alias,05101083,05101083-{N},1
,30191072,Alias,30191072,30191072-{N},1
,3PW1917104,Alias,3PW1917104,3PW1917104-{N},1
,KACF0650,Alias,KACF0650,KACF0650-{N},1
,36PA0190,Alias,36PA0190,36PA0190-{N},1
,72106015000,Alias,72106015000,72106015000-{N},1
,DX121010,Alias,DX121010,DX121010-{N},1
,JL581000,Alias,JL581000,JL581000-{N},1
,JZ581007,Alias,JZ581007,JZ581007-{N},1
,JK581000,Alias,JK581000,JK581000-{N},1
,AL121072,Alias,AL121072,AL121072-{N},1
,JA581017,Alias,JA581017,JA581017-{N},1
,JW581000,Alias,JW581000,JW581000-{N},1
,AA121053,Alias,AA121053,AA121053-{N},1
,BF581048,Alias,BF581048,BF581048-{N},1
,28121017,Alias,28121017,28121017-{N},1
,DK121050,Alias,DK121050,DK121050-{N},1
,24121065,Alias,24121065,24121065-{N},1
,JA581311,Alias,JA581311,JA581311-{N},1
,GF121042,Alias,GF121042,GF121042-{N},1
,JA581236,Alias,JA581236,JA581236-{N},1
,JD581005,Alias,JD581005,JD581005-{N},1
,DH151057,Alias,DH151057,DH151057-{N},1
,JF131011,Alias,JF131011,JF131011-{N},1
,DS201020,Alias,DS201020,DS201020-{N},1
,JW131810,Alias,JW131810,JW131810-{N},1
,24231091,Alias,24231091,24231091-{N},1
,24231090,Alias,24231090,24231090-{N},1
,JN551408,Alias,JN551408,JN551408-{N},1
,JN551409,Alias,JN551409,JN551409-{N},1
,AB171009,Alias,AB171009,AB171009-{N},1
,05171056,Alias,05171056,05171056-{N},1
,AB171049,Alias,AB171049,AB171049-{N},1
,3PW1811604,Alias,3PW1811604,3PW1811604-{N},1
,28101032,Alias,28101032,28101032-{N},1
,GF151008,Alias,GF151008,GF151008-{N},1
,DH101040,Alias,DH101040,DH101040-{N},1
,DS101030,Alias,DS101030,DS101030-{N},1
,DU101060,Alias,DU101060,DU101060-{N},1
,JD561423,Alias,JD561423,JD561423-{N},1
,AA171019,Alias,AA171019,AA171019-{N},1
,AA171020,Alias,AA171020,AA171020-{N},1
,JZ122071,Alias,JZ122071,JZ122071-{N},1
,PA122064,Alias,PA122064,PA122064-{N},1
,PD122013,Alias,PD122013,PD122013-{N},1
,JF122072,Alias,JF122072,JF122072-{N},1
,24171111,Alias,24171111,24171111-{N},1
,24171113,Alias,24171113,24171113-{N},1
,24171120,Alias,24171120,24171120-{N},1
,24171121,Alias,24171121,24171121-{N},1
,JF561204,Alias,JF561204,JF561204-{N},1
,JF561415,Alias,JF561415,JF561415-{N},1
,GF101071,Alias,GF101071,GF101071-{N},1
,DM171018,Alias,DM171018,DM171018-{N},1
,DZ171014,Alias,DZ171014,DZ171014-{N},1
,DZ171015,Alias,DZ171015,DZ171015-{N},1
,JH561213,Alias,JH561213,JH561213-{N},1
,DS101333,Alias,DS101333,DS101333-{N},1
,DS101191,Alias,DS101191,DS101191-{N},1
,PF122014,Alias,PF122014,PF122014-{N},1
,JD122008,Alias,JD122008,JD122008-{N},1
,DJ171032,Alias,DJ171032,DJ171032-{N},1
,DJ171035,Alias,DJ171035,DJ171035-{N},1
,31171001,Alias,31171001,31171001-{N},1
,DD171013,Alias,DD171013,DD171013-{N},1
,DX171001,Alias,DX171001,DX171001-{N},1
,DU171017,Alias,DU171017,DU171017-{N},1
,DS171002,Alias,DS171002,DS171002-{N},1
,DJ171025,Alias,DJ171025,DJ171025-{N},1
,DH171002,Alias,DH171002,DH171002-{N},1
,DP101020,Alias,DP101020,DP101020-{N},1
,31101020,Alias,31101020,31101020-{N},1
,AA111082,Alias,AA111082,AA111082-{N},1
,JA351607,Alias,JA351607,JA351607-{N},1
,DK111016,Alias,DK111016,DK111016-{N},1
,DH111032,Alias,DH111032,DH111032-{N},1
,AZ581009,Alias,AZ581009,AZ581009-{N},1
,BF211544,Alias,BF211544,BF211544-{N},1
,DH102274,Alias,DH102274,DH102274-{N},1
,BF581049,Alias,BF581049,BF581049-{N},1
,PF581046,Alias,PF581046,PF581046-{N},1
,JE581051,Alias,JE581051,JE581051-{N},1
,AB101100,Alias,AB101100,AB101100-{N},1
,52BF0093,Alias,52BF0093,52BF0093-{N},1
,52DJ1454,Alias,52DJ1454,52DJ1454-{N},1
,52DJ1455,Alias,52DJ1455,52DJ1455-{N},1
,36JP0005,Alias,36JP0005,36JP0005-{N},1
,36JP0006,Alias,36JP0006,36JP0006-{N},1
,52JL1059,Alias,52JL1059,52JL1059-{N},1
,52JL1055,Alias,52JL1055,52JL1055-{N},1
,52JL1063,Alias,52JL1063,52JL1063-{N},1
,BF401139,Alias,BF401139,BF401139-{N},1
,PD511224,Alias,PD511224,PD511224-{N},1
,52AA0464,Alias,52AA0464,52AA0464-{N},1
,JE531003,Alias,JE531003,JE531003-{N},1
,AA101952,Alias,AA101952,AA101952-{N},1
,BF162029,Alias,BF162029,BF162029-{N},1
,JZ113049,Alias,JZ113049,JZ113049-{N},1
,JL511059,Alias,JL511059,JL511059-{N},1
,BF244000,Alias,BF244000,BF244000-{N},1
,BF191125,Alias,BF191125,BF191125-{N},1
,JF161008,Alias,JF161008,JF161008-{N},1
,JE571215,Alias,JE571215,JE571215-{N},1
,BF401018,Alias,BF401018,BF401018-{N},1
,BF401019,Alias,BF401019,BF401019-{N},1
,BF401118,Alias,BF401118,BF401118-{N},1
,BF401119,Alias,BF401119,BF401119-{N},1
,BF401138,Alias,BF401138,BF401138-{N},1
,BF162074,Alias,BF162074,BF162074-{N},1
,BF162080,Alias,BF162080,BF162080-{N},1
,DJ121087,Alias,DJ121087,DJ121087-{N},1
,BF211372,Alias,BF211372,BF211372-{N},1
,BF211379,Alias,BF211379,BF211379-{N},1
,JB581036,Alias,JB581036,JB581036-{N},1
,JH581018,Alias,JH581018,JH581018-{N},1
,AA121204,Alias,AA121204,AA121204-{N},1
,DH121189,Alias,DH121189,DH121189-{N},1
,BF581125,Alias,BF581125,BF581125-{N},1
,PD581013,Alias,PD581013,PD581013-{N},1
,DJ121040,Alias,DJ121040,DJ121040-{N},1
,BF581000,Alias,BF581000,BF581000-{N},1
,DT581064,Alias,DT581064,DT581064-{N},1
,JB581006,Alias,JB581006,JB581006-{N},1
,AA121151,Alias,AA121151,AA121151-{N},1
,DH121135,Alias,DH121135,DH121135-{N},1
,AA121116,Alias,AA121116,AA121116-{N},1
,JE581004,Alias,JE581004,JE581004-{N},1
,DH121178,Alias,DH121178,DH121178-{N},1
,PF581003,Alias,PF581003,PF581003-{N},1
,JZ581020,Alias,JZ581020,JZ581020-{N},1
,AA121259,Alias,AA121259,AA121259-{N},1
,PD581033,Alias,PD581033,PD581033-{N},1
,PF581038,Alias,PF581038,PF581038-{N},1
,PF581000,Alias,PF581000,PF581000-{N},1
,JH581000,Alias,JH581000,JH581000-{N},1
,JZ581056,Alias,JZ581056,JZ581056-{N},1
,PA581039,Alias,PA581039,PA581039-{N},1
,PA581042,Alias,PA581042,PA581042-{N},1
,JE581026,Alias,JE581026,JE581026-{N},1
,JB581021,Alias,JB581021,JB581021-{N},1
,JE581080,Alias,JE581080,JE581080-{N},1
,JE581075,Alias,JE581075,JE581075-{N},1
,DH121202,Alias,DH121202,DH121202-{N},1
,JL581050,Alias,JL581050,JL581050-{N},1
,JL561206,Alias,JL561206,JL561206-{N},1
,JG122043,Alias,JG122043,JG122043-{N},1
,AP201119,Alias,AP201119,AP201119-{N},1
,AP201130,Alias,AP201130,AP201130-{N},1
,24151168,Alias,24151168,24151168-{N},1
,24151175,Alias,24151175,24151175-{N},1
,AL151211,Alias,AL151211,AL151211-{N},1
,AL151212,Alias,AL151212,AL151212-{N},1
,24151179,Alias,24151179,24151179-{N},1
,JE581221,Alias,JE581221,JE581221-{N},1
,24151167,Alias,24151167,24151167-{N},1
,AP151017,Alias,AP151017,AP151017-{N},1
,24151174,Alias,24151174,24151174-{N},1
,24151178,Alias,24151178,24151178-{N},1
,24231620,Alias,24231620,24231620-{N},1
,DJ101689,Alias,DJ101689,DJ101689-{N},1
,JL531205,Alias,JL531205,JL531205-{N},1
,JU531215,Alias,JU531215,JU531215-{N},1
,JF181253,Alias,JF181253,JF181253-{N},1
,AM201076,Alias,AM201076,AM201076-{N},1
,JY232603,Alias,JY232603,JY232603-{N},1
,BH161017,Alias,BH161017,BH161017-{N},1
,52AP0275,Alias,52AP0275,52AP0275-{N},1
,52AP0276,Alias,52AP0276,52AP0276-{N},1
,DK101416,Alias,DK101416,DK101416-{N},1
,DH102050,Alias,DH102050,DH102050-{N},1
,DK101776,Alias,DK101776,DK101776-{N},1
,DJ902503,Alias,DJ902503,DJ902503-{N},1
,DH102104,Alias,DH102104,DH102104-{N},1
,DH900014,Alias,DH900014,DH900014-{N},1
,JE511053,Alias,JE511053,JE511053-{N},1
,JL581024,Alias,JL581024,JL581024-{N},1
,24161432,Alias,24161432,24161432-{N},1
,AF111023,Alias,AF111023,AF111023-{N},1
,AA131074,Alias,AA131074,AA131074-{N},1
,BF131511,Alias,BF131511,BF131511-{N},1
,JU161006,Alias,JU161006,JU161006-{N},1
,JP161001,Alias,JP161001,JP161001-{N},1
,JH131820,Alias,JH131820,JH131820-{N},1
,BF131942,Alias,BF131942,BF131942-{N},1
,BF131941,Alias,BF131941,BF131941-{N},1
,JH131802,Alias,JH131802,JH131802-{N},1
,BF131940,Alias,BF131940,BF131940-{N},1
,BF131939,Alias,BF131939,BF131939-{N},1
,BH131212,Alias,BH131212,BH131212-{N},1
,BH131213,Alias,BH131213,BH131213-{N},1
,PA161006,Alias,PA161006,PA161006-{N},1
,JZ161009,Alias,JZ161009,JZ161009-{N},1
,52JH0022,Alias,52JH0022,52JH0022-{N},1
,BF162057,Alias,BF162057,BF162057-{N},1
,24151256,Alias,24151256,24151256-{N},1
,BH161019,Alias,BH161019,BH161019-{N},1
,24151221,Alias,24151221,24151221-{N},1
,BB151073,Alias,BB151073,BB151073-{N},1
,BH131802,Alias,BH131802,BH131802-{N},1
,AZ131802,Alias,AZ131802,AZ131802-{N},1
,AL151220,Alias,AL151220,AL151220-{N},1
,24151290,Alias,24151290,24151290-{N},1
,DT161012,Alias,DT161012,DT161012-{N},1
,JE511012,Alias,JE511012,JE511012-{N},1
,BF402206,Alias,BF402206,BF402206-{N},1
,DJ151067,Alias,DJ151067,DJ151067-{N},1
,PD131806,Alias,PD131806,PD131806-{N},1
,DK151083,Alias,DK151083,DK151083-{N},1
,PF511200,Alias,PF511200,PF511200-{N},1
,PA511246,Alias,PA511246,PA511246-{N},1
,AA102003,Alias,AA102003,AA102003-{N},1
,JF511222,Alias,JF511222,JF511222-{N},1
,BB103052,Alias,BB103052,BB103052-{N},1
,DY511204,Alias,DY511204,DY511204-{N},1
,JF511228,Alias,JF511228,JF511228-{N},1
,AA101864,Alias,AA101864,AA101864-{N},1
,AA101847,Alias,AA101847,AA101847-{N},1
,AA101768,Alias,AA101768,AA101768-{N},1
,BF511274,Alias,BF511274,BF511274-{N},1
,PF511209,Alias,PF511209,PF511209-{N},1
,PF511210,Alias,PF511210,PF511210-{N},1
,JH511208,Alias,JH511208,JH511208-{N},1
,JE511239,Alias,JE511239,JE511239-{N},1
,DK101614,Alias,DK101614,DK101614-{N},1
,JU511221,Alias,JU511221,JU511221-{N},1
,JU511219,Alias,JU511219,JU511219-{N},1
,JE511243,Alias,JE511243,JE511243-{N},1
,24121677,Alias,24121677,24121677-{N},1
,AA141125,Alias,AA141125,AA141125-{N},1
,AA141129,Alias,AA141129,AA141129-{N},1
,JH541217,Alias,JH541217,JH541217-{N},1
,BH131407,Alias,BH131407,BH131407-{N},1
,BF601027,Alias,BF601027,BF601027-{N},1
,PF581227,Alias,PF581227,PF581227-{N},1
,JZ581228,Alias,JZ581228,JZ581228-{N},1
,JH181265,Alias,JH181265,JH181265-{N},1
,DU121060,Alias,DU121060,DU121060-{N},1
,JZ581240,Alias,JZ581240,JZ581240-{N},1
,JZ581241,Alias,JZ581241,JZ581241-{N},1
,PF581215,Alias,PF581215,PF581215-{N},1
,JH581200,Alias,JH581200,JH581200-{N},1
,PD581217,Alias,PD581217,PD581217-{N},1
,JE581231,Alias,JE581231,JE581231-{N},1
,PA581226,Alias,PA581226,PA581226-{N},1
,JB581284,Alias,JB581284,JB581284-{N},1
,JE581251,Alias,JE581251,JE581251-{N},1
,JE581233,Alias,JE581233,JE581233-{N},1
,PF581045,Alias,PF581045,PF581045-{N},1
,JH131600,Alias,JH131600,JH131600-{N},1
,BF182309,Alias,BF182309,BF182309-{N},1
,JE351246,Alias,JE351246,JE351246-{N},1
,AA111156,Alias,AA111156,AA111156-{N},1
,AA111122,Alias,AA111122,AA111122-{N},1
,AA111119,Alias,AA111119,AA111119-{N},1
,52JW0025,Alias,52JW0025,52JW0025-{N},1
,JZ181214,Alias,JZ181214,JZ181214-{N},1
,JG161015,Alias,JG161015,JG161015-{N},1
,JU161007,Alias,JU161007,JU161007-{N},1
,JE541200,Alias,JE541200,JE541200-{N},1
,JU121054,Alias,JU121054,JU121054-{N},1
,JF551500,Alias,JF551500,JF551500-{N},1
,JZ551413,Alias,JZ551413,JZ551413-{N},1
,GH101083,Alias,GH101083,GH101083-{N},1
,JE551411,Alias,JE551411,JE551411-{N},1
,PF551412,Alias,PF551412,PF551412-{N},1
,PF551413,Alias,PF551413,PF551413-{N},1
,AN101391,Alias,AN101391,AN101391-{N},1
,BF161285,Alias,BF161285,BF161285-{N},1
,BF161303,Alias,BF161303,BF161303-{N},1
,BF162066,Alias,BF162066,BF162066-{N},1
,JK551400,Alias,JK551400,JK551400-{N},1
,JB551410,Alias,JB551410,JB551410-{N},1
,DH102087,Alias,DH102087,DH102087-{N},1
,PF551403,Alias,PF551403,PF551403-{N},1
,PA541208,Alias,PA541208,PA541208-{N},1
,52DU0197,Alias,52DU0197,52DU0197-{N},1
,JH551400,Alias,JH551400,JH551400-{N},1
,JE551428,Alias,JE551428,JE551428-{N},1
,BF551443,Alias,BF551443,BF551443-{N},1
,BF162062,Alias,BF162062,BF162062-{N},1
,JH541212,Alias,JH541212,JH541212-{N},1
,PA131217,Alias,PA131217,PA131217-{N},1
,JF131018,Alias,JF131018,JF131018-{N},1
,BF401433,Alias,BF401433,BF401433-{N},1
,GF221007,Alias,GF221007,GF221007-{N},1
,AA121195,Alias,AA121195,AA121195-{N},1
,AF121507,Alias,AF121507,AF121507-{N},1
,AA191112,Alias,AA191112,AA191112-{N},1
,BB101165,Alias,BB101165,BB101165-{N},1
,BF581087,Alias,BF581087,BF581087-{N},1
,BF531058,Alias,BF531058,BF531058-{N},1
,JG601239,Alias,JG601239,JG601239-{N},1
,52BF0143,Alias,52BF0143,52BF0143-{N},1
,JB541212,Alias,JB541212,JB541212-{N},1
,52DU0249,Alias,52DU0249,52DU0249-{N},1
,PF541244,Alias,PF541244,PF541244-{N},1
,PF541248,Alias,PF541248,PF541248-{N},1
,PF541263,Alias,PF541263,PF541263-{N},1
,JH541205,Alias,JH541205,JH541205-{N},1
,JZ541235,Alias,JZ541235,JZ541235-{N},1
,JE541233,Alias,JE541233,JE541233-{N},1
,JC101030,Alias,JC101030,JC101030-{N},1
,JZ541226,Alias,JZ541226,JZ541226-{N},1
,JE541228,Alias,JE541228,JE541228-{N},1
,PF181232,Alias,PF181232,PF181232-{N},1
,JK531000,Alias,JK531000,JK531000-{N},1
,PA531025,Alias,PA531025,PA531025-{N},1
,PF541029,Alias,PF541029,PF541029-{N},1
,PF541042,Alias,PF541042,PF541042-{N},1
,DU101216,Alias,DU101216,DU101216-{N},1
,JH541008,Alias,JH541008,JH541008-{N},1
,PF541031,Alias,PF541031,PF541031-{N},1
,PA541026,Alias,PA541026,PA541026-{N},1
,PA541011,Alias,PA541011,PA541011-{N},1
,DJ101223,Alias,DJ101223,DJ101223-{N},1
,JH531007,Alias,JH531007,JH531007-{N},1
,AA101949,Alias,AA101949,AA101949-{N},1
,DH101652,Alias,DH101652,DH101652-{N},1
,JZ531007,Alias,JZ531007,JZ531007-{N},1
,PF531011,Alias,PF531011,PF531011-{N},1
,PF531002,Alias,PF531002,PF531002-{N},1
,PF531000,Alias,PF531000,PF531000-{N},1
,DH102220,Alias,DH102220,DH102220-{N},1
,JH531000,Alias,JH531000,JH531000-{N},1
,DH101672,Alias,DH101672,DH101672-{N},1
,BF531059,Alias,BF531059,BF531059-{N},1
,PA531029,Alias,PA531029,PA531029-{N},1
,BA103035,Alias,BA103035,BA103035-{N},1
,DJ101221,Alias,DJ101221,DJ101221-{N},1
,52JE0080,Alias,52JE0080,52JE0080-{N},1
,BF521019,Alias,BF521019,BF521019-{N},1
,AA102005,Alias,AA102005,AA102005-{N},1
,AA102093,Alias,AA102093,AA102093-{N},1
,AA101848,Alias,AA101848,AA101848-{N},1
,AA101862,Alias,AA101862,AA101862-{N},1
,JL511053,Alias,JL511053,JL511053-{N},1
,JZ511029,Alias,JZ511029,JZ511029-{N},1
,JE511086,Alias,JE511086,JE511086-{N},1
,BF561404,Alias,BF561404,BF561404-{N},1
,BA133040,Alias,BA133040,BA133040-{N},1
,AA171022,Alias,AA171022,AA171022-{N},1
,BF182603,Alias,BF182603,BF182603-{N},1
,JL581056,Alias,JL581056,JL581056-{N},1
,BF131759,Alias,BF131759,BF131759-{N},1
,AP201117,Alias,AP201117,AP201117-{N},1
,AL133003,Alias,AL133003,AL133003-{N},1
,BH141224,Alias,BH141224,BH141224-{N},1
,AL133004,Alias,AL133004,AL133004-{N},1
,BF551807,Alias,BF551807,BF551807-{N},1
,BF121198,Alias,BF121198,BF121198-{N},1
,BF121130,Alias,BF121130,BF121130-{N},1
,DK101732,Alias,DK101732,DK101732-{N},1
,PA561005,Alias,PA561005,PA561005-{N},1
,BF561043,Alias,BF561043,BF561043-{N},1
,PA561002,Alias,PA561002,PA561002-{N},1
,BF581089,Alias,BF581089,BF581089-{N},1
,AA121241,Alias,AA121241,AA121241-{N},1
,BF581059,Alias,BF581059,BF581059-{N},1
,BF111415,Alias,BF111415,BF111415-{N},1
,52240594,Alias,52240594,52240594-{N},1
,52AA0315,Alias,52AA0315,52AA0315-{N},1
,DK121009,Alias,DK121009,DK121009-{N},1
,JY591047,Alias,JY591047,JY591047-{N},1
,AA161315,Alias,AA161315,AA161315-{N},1
,DK161415,Alias,DK161415,DK161415-{N},1
,DK161416,Alias,DK161416,DK161416-{N},1
,JZ113436,Alias,JZ113436,JZ113436-{N},1
,AA161337,Alias,AA161337,AA161337-{N},1
,DT351411,Alias,DT351411,DT351411-{N},1
,AA151058,Alias,AA151058,AA151058-{N},1
,JE511213,Alias,JE511213,JE511213-{N},1
,AA102043,Alias,AA102043,AA102043-{N},1
,AA101953,Alias,AA101953,AA101953-{N},1
,AA101997,Alias,AA101997,AA101997-{N},1
,AA101755,Alias,AA101755,AA101755-{N},1
,AA102117,Alias,AA102117,AA102117-{N},1
,AA101535,Alias,AA101535,AA101535-{N},1
,AA101970,Alias,AA101970,AA101970-{N},1
,AA101743,Alias,AA101743,AA101743-{N},1
,52DU0290,Alias,52DU0290,52DU0290-{N},1
,52DU0289,Alias,52DU0289,52DU0289-{N},1
,52DU0292,Alias,52DU0292,52DU0292-{N},1
,52DU0291,Alias,52DU0291,52DU0291-{N},1
,AA111093,Alias,AA111093,AA111093-{N},1
,24121243,Alias,24121243,24121243-{N},1
,24121391,Alias,24121391,24121391-{N},1
,JH161035,Alias,JH161035,JH161035-{N},1
,BB181012,Alias,BB181012,BB181012-{N},1
,PF121043,Alias,PF121043,PF121043-{N},1
,JP121037,Alias,JP121037,JP121037-{N},1
,JP121038,Alias,JP121038,JP121038-{N},1
,AP161054,Alias,AP161054,AP161054-{N},1
,24211028,Alias,24211028,24211028-{N},1
,24231750,Alias,24231750,24231750-{N},1
,24151243,Alias,24151243,24151243-{N},1
,BH121004,Alias,BH121004,BH121004-{N},1
,BF241016,Alias,BF241016,BF241016-{N},1
,52BF0331,Alias,52BF0331,52BF0331-{N},1
,52BF0329,Alias,52BF0329,52BF0329-{N},1
,52BF0332,Alias,52BF0332,52BF0332-{N},1
,52BF0327,Alias,52BF0327,52BF0327-{N},1
,52BF0330,Alias,52BF0330,52BF0330-{N},1
,52BF0328,Alias,52BF0328,52BF0328-{N},1
,PA121020,Alias,PA121020,PA121020-{N},1
,PA121025,Alias,PA121025,PA121025-{N},1
,PA121030,Alias,PA121030,PA121030-{N},1
,JZ121055,Alias,JZ121055,JZ121055-{N},1
,JZ121056,Alias,JZ121056,JZ121056-{N},1
,DT121049,Alias,DT121049,DT121049-{N},1
,JH121009,Alias,JH121009,JH121009-{N},1
,BF121003,Alias,BF121003,BF121003-{N},1
,AL171139,Alias,AL171139,AL171139-{N},1
,AA141115,Alias,AA141115,AA141115-{N},1
,JH171800,Alias,JH171800,JH171800-{N},1
,DU141095,Alias,DU141095,DU141095-{N},1
,24141184,Alias,24141184,24141184-{N},1
,24121695,Alias,24121695,24121695-{N},1
,BF171036,Alias,BF171036,BF171036-{N},1
,DT171092,Alias,DT171092,DT171092-{N},1
,BF111172,Alias,BF111172,BF111172-{N},1
,24121682,Alias,24121682,24121682-{N},1
,AA141071,Alias,AA141071,AA141071-{N},1
,24141165,Alias,24141165,24141165-{N},1
,JZ171807,Alias,JZ171807,JZ171807-{N},1
,BH402220,Alias,BH402220,BH402220-{N},1
,24121255,Alias,24121255,24121255-{N},1
,24121251,Alias,24121251,24121251-{N},1
,BF531021,Alias,BF531021,BF531021-{N},1
,BG151001,Alias,BG151001,BG151001-{N},1
,BA181021,Alias,BA181021,BA181021-{N},1
,24181074,Alias,24181074,24181074-{N},1
,PA621005,Alias,PA621005,PA621005-{N},1
,JH561402,Alias,JH561402,JH561402-{N},1
,52DM0368,Alias,52DM0368,52DM0368-{N},1
,BB133115,Alias,BB133115,BB133115-{N},1
,BF161052,Alias,BF161052,BF161052-{N},1
,JZ561415,Alias,JZ561415,JZ561415-{N},1
,BF561026,Alias,BF561026,BF561026-{N},1
,BF161277,Alias,BF161277,BF161277-{N},1
,JC101145,Alias,JC101145,JC101145-{N},1
,BF621400,Alias,BF621400,BF621400-{N},1
,PF621403,Alias,PF621403,PF621403-{N},1
,JY621411,Alias,JY621411,JY621411-{N},1
,JG621417,Alias,JG621417,JG621417-{N},1
,JE621404,Alias,JE621404,JE621404-{N},1
,PA231403,Alias,PA231403,PA231403-{N},1
,JZ231409,Alias,JZ231409,JZ231409-{N},1
